Book,Author(s),AI Gen
A Tale of Two Cities,Charles Dickens,
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,
Harry Potter and the Philosopher's Stone,J. K. Rowling,
And Then There Were None,Agatha Christie,
Dream of the Red Chamber (紅樓夢),Cao Xueqin,
The Hobbit,J. R. R. Tolkien,
"The Lion, the Witch and the Wardrobe",C. S. Lewis,
She: A History of Adventure,H. Rider Haggard,
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,
The Da Vinci Code,Dan Brown,
Harry Potter and the Chamber of Secrets,J. K. Rowling,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,
Harry Potter and the Goblet of Fire,J. K. Rowling,
Harry Potter and the Order of the Phoenix,J. K. Rowling,
Harry Potter and the Half-Blood Prince,J. K. Rowling,
Harry Potter and the Deathly Hallows,J. K. Rowling,
The Alchemist (O Alquimista),Paulo Coelho,
The Catcher in the Rye,J. D. Salinger,
The Bridges of Madison County,Robert James Waller,
Ben-Hur: A Tale of the Christ,Lew Wallace,
You Can Heal Your Life,Louise Hay,
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,
Lolita,Vladimir Nabokov,
Heidi,Johanna Spyri,
The Common Sense Book of Baby and Child Care,Benjamin Spock,
Anne of Green Gables,Lucy Maud Montgomery,
Black Beauty,Anna Sewell,
The Name of the Rose (Il Nome della Rosa),Umberto Eco,
The Eagle Has Landed,Jack Higgins,
Watership Down,Richard Adams,
The Hite Report,Shere Hite,
Charlotte's Web,E. B. White; illustrated by Garth Williams,
The Ginger Man,J. P. Donleavy,
The Tale of Peter Rabbit,Beatrix Potter,
Jonathan Livingston Seagull,Richard Bach,
The Very Hungry Caterpillar,Eric Carle,
A Message to Garcia,Elbert Hubbard,
To Kill a Mockingbird,Harper Lee,
Flowers in the Attic,V. C. Andrews,
Cosmos,Carl Sagan,
Sophie's World (Sofies verden),Jostein Gaarder,
Angels & Demons,Dan Brown,
Kane and Abel,Jeffrey Archer,
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,
War and Peace (Война и мир),Leo Tolstoy,
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,
The Diary of Anne Frank (Het Achterhuis),Anne Frank,
Your Erroneous Zones,Wayne Dyer,
The Thorn Birds,Colleen McCullough,
The Purpose Driven Life,Rick Warren,
The Kite Runner,Khaled Hosseini,
Valley of the Dolls,Jacqueline Susann,
Alcoholics Anonymous Big Book,Bill Wilson,
How to Win Friends and Influence People,Dale Carnegie,
The Great Gatsby,F. Scott Fitzgerald,
Gone with the Wind,Margaret Mitchell,
Rebecca,Daphne du Maurier,
Nineteen Eighty-Four,George Orwell,
The Revolt of Mamie Stover,William Bradford Huie,
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,
The Lost Symbol,Dan Brown,
The Hunger Games,Suzanne Collins,
James and the Giant Peach,Roald Dahl,
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,
Who Moved My Cheese?,Spencer Johnson,
A Brief History of Time,Stephen Hawking,
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,
Lust for Life,Irving Stone,
The Wind in the Willows,Kenneth Grahame,
The 7 Habits of Highly Effective People,Stephen R. Covey,
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,
The Celestine Prophecy,James Redfield,
The Fault in Our Stars,John Green,
The Girl on the Train,Paula Hawkins,
The Shack,William P. Young,
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,
The Godfather,Mario Puzo,
Love Story,Erich Segal,
Catching Fire,Suzanne Collins,
Mockingjay,Suzanne Collins,
Kitchen (キッチン),Banana Yoshimoto,
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,
Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,
Gone Girl,Gillian Flynn,
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,
The Bermuda Triangle,Charles Berlitz,
"Things Fall Apart ",Chinua Achebe,
"Animal Farm ",George Orwell,
Wolf Totem (狼图腾),Jiang Rong,
The Happy Hooker: My Own Story,Xaviera Hollander,
Jaws,Peter Benchley,
Love You Forever,Robert Munsch,
The Women's Room,Marilyn French,
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,
Adventures of Huckleberry Finn,Mark Twain,
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,
Pride and Prejudice,Jane Austen,
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,
