Book,Author(s),AI Gen
A Tale of Two Cities,Charles Dickens,Charles Dickens
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,Antoine de Saint-Exupéry
Harry Potter and the Philosopher's Stone,J. K. Rowling,J.K. Rowling
And Then There Were None,Agatha Christie,Agatha Christie
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Cao Xueqin
The Hobbit,J. R. R. Tolkien,J.R.R. Tolkien
"The Lion, the Witch and the Wardrobe",C. S. Lewis,C.S. Lewis
She: A History of Adventure,H. Rider Haggard,H. Rider Haggard
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Ved Prakash Sharma
The Da Vinci Code,Dan Brown,Dan Brown
Harry Potter and the Chamber of Secrets,J. K. Rowling,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,J.K. Rowling
Harry Potter and the Goblet of Fire,J. K. Rowling,J.K. Rowling
Harry Potter and the Order of the Phoenix,J. K. Rowling,J.K. Rowling
Harry Potter and the Half-Blood Prince,J. K. Rowling,J.K. Rowling
Harry Potter and the Deathly Hallows,J. K. Rowling,J.K. Rowling
The Alchemist (O Alquimista),Paulo Coelho,Paulo Coelho
The Catcher in the Rye,J. D. Salinger,J.D. Salinger
The Bridges of Madison County,Robert James Waller,Robert James Waller
Ben-Hur: A Tale of the Christ,Lew Wallace,Lew Wallace
You Can Heal Your Life,Louise Hay,Louise Hay
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Gabriel García Márquez
Lolita,Vladimir Nabokov,Vladimir Nabokov
Heidi,Johanna Spyri,Johanna Spyri
The Common Sense Book of Baby and Child Care,Benjamin Spock,Benjamin Spock
Anne of Green Gables,Lucy Maud Montgomery,L. M. Montgomery
Black Beauty,Anna Sewell,Anna Sewell
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Umberto Eco
The Eagle Has Landed,Jack Higgins,Jack Higgins
Watership Down,Richard Adams,Richard Adams
The Hite Report,Shere Hite,Shere Hite
Charlotte's Web,E. B. White; illustrated by Garth Williams,E.B. White
The Ginger Man,J. P. Donleavy,J.P. Donleavy
The Tale of Peter Rabbit,Beatrix Potter,Beatrix Potter
Jonathan Livingston Seagull,Richard Bach,Richard Bach
The Very Hungry Caterpillar,Eric Carle,Eric Carle
A Message to Garcia,Elbert Hubbard,Elbert Hubbard
To Kill a Mockingbird,Harper Lee,Harper Lee
Flowers in the Attic,V. C. Andrews,V.C. Andrews
Cosmos,Carl Sagan,Carl Sagan
Sophie's World (Sofies verden),Jostein Gaarder,Jostein Gaarder
Angels & Demons,Dan Brown,Dan Brown
Kane and Abel,Jeffrey Archer,Jeffrey Archer
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Nikolai Ostrovsky
War and Peace (Война и мир),Leo Tolstoy,Leo Tolstoy.
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Carlo Collodi
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Anne Frank
Your Erroneous Zones,Wayne Dyer,Wayne W. Dyer
The Thorn Birds,Colleen McCullough,Colleen McCullough
The Purpose Driven Life,Rick Warren,Rick Warren
The Kite Runner,Khaled Hosseini,Khaled Hosseini
Valley of the Dolls,Jacqueline Susann,Jacqueline Susann
Alcoholics Anonymous Big Book,Bill Wilson,Bill W.
How to Win Friends and Influence People,Dale Carnegie,Dale Carnegie
The Great Gatsby,F. Scott Fitzgerald,F. Scott Fitzgerald
Gone with the Wind,Margaret Mitchell,Margaret Mitchell
Rebecca,Daphne du Maurier,Daphne du Maurier
Nineteen Eighty-Four,George Orwell,George Orwell
